"compound_id","id","Name","formula","inchi","precursorType","precursorMz","instrument","collision.energy","spectrum","KEGG","CAS","PubChem","ChEBI","KNApSAcK","LIPIDMAPS","LipidBank","chemspider","HMDB"
"LU1067xx_1","TUE00011","2-Aminobenzimidazol","C7H7N3","InChI=1S/C7H7N3/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H3,8,9,10)","M+H","134.07128","Agilent 6550 iFunnel Q-TOF",10,"92.0495:1.612272 134.0713:100.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LU1067xx_1","TUE00012","2-Aminobenzimidazol","C7H7N3","InChI=1S/C7H7N3/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H3,8,9,10)","M+H","134.07128","Agilent 6550 iFunnel Q-TOF",20,"65.0387:7.278255 80.0494:1.816515 92.0495:28.790083 93.0573:6.020991 107.0604:5.626151 117.0447:1.226989 133.0633:0.657646 134.0713:100.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LU1067xx_1","TUE00013","2-Aminobenzimidazol","C7H7N3","InChI=1S/C7H7N3/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H3,8,9,10)","M+H","134.07128","Agilent 6550 iFunnel Q-TOF",40,"39.0225:11.638922 53.0386:4.151235 63.0228:0.723818 65.0389:100.000000 66.0337:0.964875 66.0464:3.767235 80.0494:16.066300 90.0338:1.534703 92.0494:18.612660 93.0574:10.708484 107.0603:2.489182 133.0634:1.428794 134.0710:2.490481",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM809801_1","TUE00021","2,6-Xylidine","C8H11N","InChI=1S/C8H11N/c1-6-4-3-5-7(2)8(6)9/h3-5H,9H2,1-2H3","M+H","122.09643","Agilent 6550 iFunnel Q-TOF",10,"77.0382:2.376708 79.0545:3.410576 103.0545:0.879382 105.0700:25.002971 107.0728:13.475936 122.0964:100.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM809801_1","TUE00022","2,6-Xylidine","C8H11N","InChI=1S/C8H11N/c1-6-4-3-5-7(2)8(6)9/h3-5H,9H2,1-2H3","M+H","122.09643","Agilent 6550 iFunnel Q-TOF",20,"40.4934:2.272153 51.0224:2.802323 67.0293:1.363292 68.0323:3.105276 77.0387:43.423378 79.0542:48.472608 94.0401:1.817723 95.0394:1.439031 95.0433:7.725322 103.0540:28.805857 105.0699:100.000000 106.0653:5.806614 107.0727:31.810149 120.0803:2.852815 122.0959:24.539258",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM809801_1","TUE00023","2,6-Xylidine","C8H11N","InChI=1S/C8H11N/c1-6-4-3-5-7(2)8(6)9/h3-5H,9H2,1-2H3","M+H","122.09643","Agilent 6550 iFunnel Q-TOF",40,"39.0221:6.469604 40.0169:2.565533 40.0184:2.035694 41.0206:1.589515 41.0375:1.505856 50.0145:1.868377 51.0227:66.731735 52.0180:1.812605 53.0378:6.413832 65.0388:6.692694 66.0465:3.095371 67.0290:8.365867 68.0323:7.668712 77.0386:100.000000 78.0452:2.760736 79.0541:11.572783 95.0427:3.151143 103.0541:6.162856 105.0705:1.561629 106.0651:10.736196",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM821601_1","TUE00031","5-Methylbenzotriazole","C7H7N3","InChI=1S/C7H7N3/c1-5-2-3-6-7(4-5)9-10-8-6/h2-4H,1H3,(H,8,9,10)","M+H","134.07128","Agilent 6550 iFunnel Q-TOF",10,"77.0386:3.576086 79.0543:6.229622 106.0651:3.518288 134.0713:100.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM821601_1","TUE00032","5-Methylbenzotriazole","C7H7N3","InChI=1S/C7H7N3/c1-5-2-3-6-7(4-5)9-10-8-6/h2-4H,1H3,(H,8,9,10)","M+H","134.07128","Agilent 6550 iFunnel Q-TOF",20,"51.0226:3.069557 53.0385:1.419121 65.0386:0.677754 66.0338:0.904444 66.0463:2.531748 67.0419:2.653189 77.0387:100.000000 78.0340:3.834054 78.0449:0.713608 79.0543:93.033934 80.0494:3.732275 89.0385:2.916888 91.0415:3.122759 106.0651:25.178691 134.0712:90.258148",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM821601_1","TUE00033","5-Methylbenzotriazole","C7H7N3","InChI=1S/C7H7N3/c1-5-2-3-6-7(4-5)9-10-8-6/h2-4H,1H3,(H,8,9,10)","M+H","134.07128","Agilent 6550 iFunnel Q-TOF",40,"39.0224:4.842488 41.0256:1.306145 42.0333:0.911989 50.0148:0.568108 51.0227:59.354670 52.0180:0.978352 52.0302:0.574141 53.0385:9.093743 54.0338:2.269414 63.0230:7.098831 64.0309:3.734427 65.0387:2.201040 66.0337:1.696279 66.0460:1.926538 67.0417:4.293485 77.0387:100.000000 78.0339:1.678180 78.0461:2.304606 79.0542:6.628257 80.0494:2.243271 89.0388:0.929082 91.0416:5.105929 104.0495:2.471519",NA,NA,NA,NA,NA,NA,NA,NA,NA
"EQ2791xx_1","TUE00041","4-Methylbenzotriazole","C7H7N3","InChI=1S/C7H7N3/c1-5-3-2-4-6-7(5)9-10-8-6/h2-4H,1H3,(H,8,9,10)","M+H","134.07128","Agilent 6550 iFunnel Q-TOF",10,"77.0386:3.248152 79.0543:5.283657 106.0650:2.866089 134.0713:100.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
