"X0","X1"
"C00002","C00003"
"C00002","C00004"
"C00002","C00005"
"C00002","C00006"
"C00002","C00008"
"C00002","C00009"
"C00002","C00010"
"C00002","C00013"
"C00002","C00015"
"C00002","C00018"
"C00002","C00019"
"C00002","C00020"
"C00002","C00021"
"C00002","C00022"
"C00002","C00024"
"C00002","C00025"
"C00002","C00031"
"C00002","C00033"
"C00002","C00035"
"C00002","C00036"
"C00002","C00037"
"C00002","C00042"
"C00002","C00043"
"C00002","C00044"
"C00002","C00047"
"C00002","C00049"
"C00002","C00051"
"C00002","C00053"
"C00002","C00058"
"C00002","C00059"
"C00002","C00061"
"C00002","C00062"
"C00002","C00063"
"C00002","C00064"
"C00002","C00065"
"C00002","C00068"
"C00002","C00073"
"C00002","C00074"
"C00002","C00075"
"C00002","C00078"
"C00002","C00079"
"C00002","C00081"
"C00002","C00082"
"C00002","C00083"
"C00002","C00085"
"C00002","C00086"
"C00002","C00091"
"C00002","C00092"
"C00002","C00093"
"C00002","C00095"
"C00002","C00097"
"C00002","C00099"
"C00002","C00100"
"C00002","C00101"
"C00002","C00103"
"C00002","C00104"
"C00002","C00105"
"C00002","C00111"
"C00002","C00112"
"C00002","C00114"
"C00002","C00116"
"C00002","C00117"
"C00002","C00119"
"C00002","C00120"
"C00002","C00121"
"C00002","C00122"
"C00002","C00123"
"C00002","C00129"
"C00002","C00131"
"C00002","C00133"
"C00002","C00135"
"C00002","C00136"
"C00002","C00137"
"C00002","C00140"
"C00002","C00144"
"C00002","C00146"
"C00002","C00147"
"C00002","C00148"
"C00002","C00152"
"C00002","C00158"
"C00002","C00159"
"C00002","C00163"
"C00002","C00164"
"C00002","C00169"
"C00002","C00179"
"C00002","C00180"
"C00002","C00183"
"C00002","C00184"
"C00002","C00185"
"C00002","C00188"
"C00002","C00189"
"C00002","C00191"
"C00002","C00194"
"C00002","C00196"
"C00002","C00197"
"C00002","C00199"
"C00002","C00207"
"C00002","C00209"
"C00002","C00212"
"C00002","C00214"
"C00002","C00216"
"C00002","C00217"
"C00002","C00218"
"C00002","C00219"
"C00002","C00221"
"C00002","C00224"
"C00002","C00227"
"C00002","C00231"
"C00002","C00234"
"C00002","C00235"
"C00002","C00236"
"C00002","C00239"
"C00002","C00246"
"C00002","C00250"
"C00002","C00253"
"C00002","C00255"
"C00002","C00256"
"C00002","C00258"
"C00002","C00259"
"C00002","C00263"
"C00002","C00267"
"C00002","C00275"
"C00002","C00286"
"C00002","C00294"
"C00002","C00309"
"C00002","C00310"
"C00002","C00312"
"C00002","C00313"
"C00002","C00314"
"C00002","C00315"
"C00002","C00318"
"C00002","C00319"
"C00002","C00329"
"C00002","C00330"
"C00002","C00332"
"C00002","C00333"
