"ids","rel.ids","mzs","RTs","Int"
1,0,116.0705437557,45.7704228246,2170016768
88,0,117.0736777314,45.7875856355,125652040
372,0,70.0651963871,45.7959009215,34876556
501,0,231.1336730965,46.183948426,25192232
1885,0,191.1023278436,44.4277245522,6799680.5
4429,0,232.1369230132,46.1767146701,2635593.5
2,1,104.1068297342,40.843308604,1889171712
106,1,105.110030971,40.8533824655,106019424
2407,1,106.1108997432,40.9005442574,5238424
3,2,118.0859981657,43.5846379302,1415609984
168,2,119.0892368855,43.6025852381,78531288
2015,2,120.0901826079,43.6048477528,6344767.5
4,3,166.0860469148,143.3213962289,1390904576
46,3,120.0806682731,143.305517862,235867328
78,3,167.0891418429,143.2932785932,138503872
649,3,121.0839668173,143.3122981843,20825326
813,3,103.0541522585,143.2938368661,17230902
999,3,331.164921343,143.253893137,14022061
1977,3,131.048989433,143.3021223886,6460723
2359,3,149.0595627947,143.2861542813,5332479.5
4377,3,332.1685030735,143.2804967487,2676938.75
5,4,132.1017446253,89.387202152,1270735104
72,4,86.0963364105,89.3555557783,152116464
146,4,133.1049241641,89.3760666071,87058072
1469,4,87.0997029904,89.3927864523,9216672
1730,4,382.2068282134,89.7508105323,7452389
2169,4,134.1057823397,89.5402990069,5815301.5
2262,4,263.1963532692,89.4438151042,5535454
6,5,130.0497274427,65.772354747,1004100672
33,5,259.0923178396,65.6674286979,337794656
247,5,131.0528785983,65.7933134035,57219324
310,5,84.0443532561,65.8284731133,44854100
356,5,260.0955371667,65.6602146512,37322208
1968,5,132.0537573781,65.7648842221,6497118.5
2011,5,322.0765987975,64.9516535259,6364933.5
2849,5,261.0966050751,65.6782499041,4349269.5
7,6,305.1340658208,51.884394313,990042176
82,6,306.1374432947,51.9535389182,134043064
255,6,133.0493093225,51.938702916,55207184
1135,6,275.1236494028,52.051635833,28281090
723,6,307.1390301657,51.908161572,19233362
808,6,153.1020785287,50.5628792899,17302364
1129,6,467.1868720959,52.937077619,12178501
1792,6,183.1126497055,49.7513900963,7151751
2268,6,241.1179944448,50.0915950184,5518994.5
4440,6,134.052616012,51.9554220835,2627233.5
8,7,118.0860854772,53.1105808435,880116864
135,7,72.0807994244,53.8243534177,91497736
269,7,119.0893395507,53.2109465932,52531228
4004,7,90.0549070671,50.2561492033,5759647.5
3050,7,73.0841188069,53.8581579184,4011054.5
9,8,276.1579102878,337.0681206839,792749696
43,8,276.6590388082,337.0572473435,263166528
305,8,277.1605616048,337.0681214106,45549260
1330,8,551.3082988183,337.0645472209,10376464
2515,8,277.6620576274,337.0463591076,4970442.5
10,9,182.0809640297,67.3676441991,752484736
174,9,183.0841719103,67.3861811132,76511288
248,9,165.054445416,67.3812108594,56638180
303,9,136.0755315542,67.2993325522,46015644
385,9,311.1234922813,66.8317555019,33858540
959,9,123.0439451054,67.4053003178,14597331
1859,9,119.0490263065,67.4338605972,6920786.5
1996,9,147.0438636521,67.3652178446,6399959.5
2204,9,473.1763649638,66.9060015135,5715021.5
2225,9,166.0577840015,67.4446507409,5636495.5
2479,9,312.1266773084,66.9586585999,5069370
2997,9,137.078819679,67.4943540573,4102074.25
3079,9,184.0848846692,67.5359215072,3977772.75
19,10,132.1017470499,82.6140474719,710873280
94,10,86.0963420073,82.6011789011,122110640
362,10,133.1049651781,82.6069649985,49374640
1846,10,87.0997011523,82.6002298991,7768291
11,11,119.0188478807,36.4909357914,703110400
23,11,133.034384205,36.5190955317,462837216
42,11,105.0032100031,36.5050774508,264405600
57,11,101.0083286685,36.5645933373,204467888
105,11,86.9926485746,36.4875030518,106178032
111,11,121.0162670344,36.5013818963,103322824
123,11,147.0136413738,36.5329783684,95781560
131,11,137.0292609555,36.4734406582,92060992
132,11,120.0196133593,36.5155853005,91962240
149,11,232.9990380654,36.5220618021,84858688
173,11,128.0191483215,36.497814001,76728456
197,11,142.0347546198,36.5050788258,69511208
200,11,132.9980867619,36.5434356512,69341568
218,11,135.0318263882,36.5118154925,66090964
245,11,134.0351655091,36.5085838229,58295088
252,11,151.0449127706,36.5225584784,56003592
263,11,218.9833873122,36.5328468141,53653336
311,11,165.0242021848,36.5190638165,44232816
314,11,123.0136568735,36.4980494921,43426472
316,11,107.0007253949,36.5295788077,42798404
333,11,106.0039757874,36.5085881699,40162520
421,11,247.0147464599,36.5184415181,30844892
466,11,151.0085440673,36.5330135434,27863586
482,11,103.0058025884,36.5259542243,26678810
483,11,110.008643173,36.5398769822,26639732
496,11,102.0091328131,36.56138979,25481668
512,11,234.9965231845,36.5580275853,24878510
645,11,233.9996470538,36.5040960766,20900432
856,11,88.9901101422,36.4645094644,16604917
976,11,220.9808822529,36.5436056228,14302651
1012,11,87.9934358818,36.4591319062,13898894
1053,11,179.0398121923,36.4940340353,13075929
1056,11,139.0268352133,36.5014694125,13043280
1060,11,214.9884172816,36.5725694257,12976936
1082,11,165.0605780759,36.5370503803,12678500
1084,11,219.9839785708,36.5220654806,12667791
1116,11,148.0144088221,36.4556188805,12282971
1167,11,114.9876099286,36.5260687983,11830578
1241,11,138.0300801371,36.4592547306,11141819
1300,11,200.9727749354,36.4554076527,10616700
1346,11,130.0168011869,36.5542111064,10261221
1427,11,129.0199644013,36.4419378236,9529496
1454,11,91.0239483257,36.4136390686,9323083
1464,11,144.0322885906,36.4103851318,9276939
1565,11,143.0355642456,36.5139345954,8530029
1576,11,133.9988045077,36.5263567636,8447924
1654,11,249.0122023019,36.525643167,7918541.5
1674,11,153.0424653379,36.4733878735,7781003
1769,11,248.0153599217,36.5328788303,7276104.5
1820,11,152.0456885063,36.4350687515,7053198.5
2044,11,105.0395679325,36.4781510746,6243107.5
2067,11,125.0112986235,36.4243820989,6146494
2137,11,124.0144983253,36.3576580757,5903153
2147,11,146.0296667034,36.3638204974,5867484.5
2380,11,166.0248148522,36.5089140604,5293379
2472,11,156.0138936795,36.5005115782,5083019.5
2556,11,160.0452975763,36.343414972,4884086.5
3239,11,112.0061543164,36.6264226096,3754201.75
3284,11,152.0092873765,36.3962549546,3695216.75
3352,11,111.0094292747,36.5184635435,3596263.5
3373,11,161.0293132456,36.504066331,3565475.75
