KEGG.id,Name,Names,Formula,monoisotopic.mass,previous.knowledge,Ref,RT,POS.adducts,main.POS.adducts,NEG.adducts,main.NEG.adducts
C00025,L-Glutamate,L-Glutamate;L-Glutamic acid;L-Glutaminic acid;Glutamate,C5H9N1O4,147.05316,1,Information taken by the single standard injected in our istrument,30;60,M+H;M-H2O+H;2M+H;M-NH3+H;M+Na;M+2H,M+H,M-H;M-H2O-H;M-;2M-H;M+K-2H;M-2H;3M-H,M-H
C00031,D-Glucose,D-Glucose;Grape sugar;Dextrose;Glucose;D-Glucopyranose,C6H12O6,180.06339,1,"This compound has been analyses in two standard mixes, one of which was analysed twice months apart. The results were not reproducible",30;60,M+Na;M+H+Na;M+;2M+H;M+2H;M+H,M+Na,M+CH2O2-H;M-H;M+Cl;2M-H;3M-H;M-2H,M+CH2O2-H
C00041,L-Alanine,L-Alanine;L-2-Aminopropionic acid;L-alpha-Alanine,C3H7N1O2,89.04768,1,The standard mix containing has been analyzed twice and the results are reproducible,20;60,M+H;2M+H;M+Na;M+2Na-H;M+2H,M+H,M-H;M-;2M-H;M-2H;3M-H,M-H
C00042,Succinate,Succinate;Succinic acid;Butanedionic acid;Ethylenesuccinic acid,C4H6O4,118.02661,1,Information taken by a standard mix containing this compound,60;100,M-H2O+H;M+H;M+Na;M-NH3+H;M+CH2+H;2M+Na;M+2H;2M+H,M-H2O+H,M-H;M-;M-H2O-H;2M-H;M-2H;3M-H,M-H
C00062,L-Arginine,L-Arginine;(S)-2-Amino-5-guanidinovaleric acid;L-Arg,C6H14N4O2,174.11168,1,The standard mix containing has been analyzed twice and the results are reproducible. Little RT shift between adducts,20;60,M+H;2M+H;M+Na;M+2H;2M+Na;M+H+K;M+2Na-H,M+H,M-H;2M-H;M-;M-2H;3M-H,M-H
C00065,L-Serine,L-Serine;L-2-Amino-3-hydroxypropionic acid;L-3-Hydroxy-alanine;Serine,C3H7N1O3,105.04259,1,"This compound has been analyses in one standard mix and a single standard, the standard mix was analysed twice months apart. The adduct M+CH2+H was only observed in the STDmix, probably wrong not related to Serine",30;60,M+H;M+Na;M+2H;2M+H,M+H,M-H;M-;2M-H;M-2H;3M-H,M-H
C00072,Ascorbate,Ascorbate;Ascorbic acid;L-Ascorbate;L-Ascorbic acid;Vitamin C,C6H8O6,176.03209,1,"This compound has been analyses in two standard mixes, one of which was analysed twice months apart. The results were not reproducible",30;70,M+H;M+Na;M+2H;2M+H,M+H,M-H;2M-H;M-;M-2H;3M-H,M-H
C00073,L-Methionine,L-Methionine;Methionine;L-2-Amino-4methylthiobutyric acid,C5H11N1O2S1,149.05105,1,The standard mix containing has been analyzed twice and the results are reproducible,40;80,M+H;M-NH3+H;M+Na;M+2H;2M+H,M+H,M-H;M-;M+CH2O2-H;2M-H;M-2H;3M-H,M-H
C00078,L-Tryptophan,L-Tryptophan;Tryptophan;(S)-alpha-Amino-beta-(3-indolyl)-propionic acid,C11H12N2O2,204.08988,1,The standard mix containing has been analyzed twice. There is a ~20 secs shift in RT.,210;270,M+H;M-NH3+H;2M+H;M+Na;M+;M+2H,M+H,M-H;2M-H;M-;M-2H;3M-H,M-H
C00079,L-Phenylalanine,L-Phenylalanine;(S)-alpha-Amino-beta-phenylpropionic acid,C9H11N1O2,165.07898,1,The standard mix containing has been analyzed twice. There is a ~20 secs shift in RT.,120;160,M+H;M+Na;M+2H;2M+H,M+H,M-H;M-;M+CH2O2-H;2M-H;M-2H;3M-H,M-H
C00085,D-Fructose 6-phosphate,D-Fructose 6-phosphate;D-Fructose 6-phosphoric acid;Neuberg ester,C6H13O9P1,260.02972,1,The standard mix containing F6P also contained G6P. The two compounds coeluted and are virtually indistiguable.,30;70,2M+H;M-H2O+H;M+H;M-NH3+H;M+NH4;M+Na;M+2H,2M+H,M-H;2M-H;3M-H;M-;M-H2O-H;M-2H,M-H
C00090,Catechol,"Catechol;1,2-Benzenediol;o-Benzenediol;1,2-Dihydroxybenzene;Brenzcatechin;Pyrocatechol",C6H6O2,110.03678,1,It was analysed in a standard mix. It appears to be more evident in negative mode,180;240,M+;2M+Na;2M+H;M+H;M+Na;M+2H;,M+,M-H;M+CH2O2-H;2M-H;M-2H;3M-H,M-H
C00092,D-Glucose 6-phosphate,D-Glucose 6-phosphate;Glucose 6-phosphate;Robison ester,C6H13O9P1,260.02972,1,The standard mix containing G6P also contained F6P. The two compounds coeluted and are virtually indistiguable.,30;70,2M+H;M-H2O+H;M+H;M-NH3+H;M+NH4;M+Na;M+2H,2M+H,M-H;2M-H;3M-H;M-;M-H2O-H;M-2H,M-H
