"ids","rel.ids","mzs","RTs","Int"
"1","0","118.086134363892","49.7145509217915","6790837248"
"18","0","235.165082417816","49.8762567308214","647246272"
"26","0","72.0808268411013","50.06177239669","492326912"
"37","0","119.089214802678","49.830899188393","410879264"
"171","0","236.168382428942","49.8929811053806","74450592"
"329","0","120.090064045158","50.0218530956068","34185588"
"487","0","73.084136621952","50.0201345744886","22136044"
"1825","0","207.13384882878","49.8981564261697","4644872.5"
"2022","0","55.0546524121294","49.9118090177837","4027184.25"
"2","1","116.070579631674","42.6631198682283","4527299584"
"54","1","117.073749399121","42.7669380589535","274986048"
"73","1","231.133964178537","42.5650734371609","235710816"
"221","1","70.0652486956711","42.8316559038664","59570448"
"484","1","118.074695786507","42.7589146296183","22317830"
"2842","1","71.0685632845885","42.7417553795709","2621351.5"
"3","2","132.101762863689","83.9922603807951","4487823872"
"40","2","86.096379973015","82.8044680545205","366070368"
"46","2","133.104764968921","83.928202578896","317991104"
"114","2","263.196477367641","84.186911299422","125390480"
"218","2","154.083658761401","84.543469679983","61327264"
"469","2","87.0997329524734","83.2988443876568","23178344"
"523","2","134.105580954255","84.3893059178403","20457046"
"694","2","264.199824623575","84.2628930409749","15289161"
"2122","2","155.086921701455","79.1465241715715","1746447.75"
"4","3","90.0549412546146","40.4260518927323","4033526272"
"90","3","179.102415503729","40.2755204981024","179783824"
"102","3","91.0581625413182","40.4424491681551","150869776"
"290","3","203.052439083842","39.52875281669","41499588"
"506","3","92.059002550427","40.2901816990065","21263362"
"800","3","240.107538309489","40.9615510940552","13491795"
"5","4","176.102827617155","40.4266319274902","3560342272"
"8","4","133.060640208845","39.9152402375874","2639522304"
"35","4","159.076292407273","42.1054223378499","422175776"
"57","4","351.198649700729","40.55250861428","263109024"
"71","4","177.106032283912","40.4424806074663","240604224"
"49","4","112.050532869957","42.21265782808","218927024"
"117","4","134.063951661753","39.6162931268865","121630232"
"199","4","87.0552941926574","39.6438052437522","69056320"
"339","4","113.070961683764","41.2764820299651","32759026"
"382","4","160.079658526589","42.1139147016737","29092448"
"551","4","178.106534881876","40.4150165211071","19209046"
"6","5","150.058199702774","55.8634936684056","3148970240"
"1496","5","245.07666859931","58.5108199872469","690610368"
"84","5","133.03168107856","55.8815573614997","192338144"
"91","5","151.061214086215","55.8734428818161","179325360"
"99","5","152.053638537743","55.8569295728529","155336800"
"151","5","104.052796050173","55.8488047831767","85889680"
"732","5","102.054944827882","55.9354718860827","14482852"
"958","5","394.128048506981","55.868077384101","10971111"
"2784","5","122.026920982678","52.4254486330094","9944167"
"1055","5","56.0498507290954","56.0870802026046","9778806"
"1083","5","134.035016568987","55.864736299257","9506347"
"1183","5","153.056844495422","55.842837439643","8383824.5"
"1222","5","135.027488557823","55.8764718373617","8067134"
"1375","5","148.042886683306","54.9852961434258","6842680"
"2456","5","105.056206463263","55.8344304826525","3131561.25"
"2718","5","87.0262905277347","55.9269960191515","2778142.5"
"7","6","166.086092979477","137.651782387181","2746140160"
"52","6","120.080696273636","137.456310874537","284300416"
"53","6","167.089096366819","137.684128209164","281462816"
"222","6","331.165097152011","137.456726921929","59553412"
"247","6","188.067951449188","137.642976915514","52216384"
"439","6","121.083986954869","137.456702338325","24950374"
"558","6","103.054190712475","137.382499901024","19056000"
"902","6","256.176617207304","135.596090262277","11875568"
"957","6","332.168607841071","137.515444861518","10981736"
"1097","6","168.09231236706","137.465054829915","9372515"
"1126","6","131.049075592436","137.54006669328","9074741"
"1145","6","149.059692665596","137.51784635845","8831273"
"1687","6","189.071408248686","137.700166914198","5197461.5"
"1739","6","353.147081662333","137.498714023166","5003787"
"1763","6","107.04910629517","137.470177098324","4907134"
"2407","6","210.049939338386","137.666585710314","3187763.25"
"2617","6","95.0490949082123","137.518943385074","2930515.25"
"9","7","120.065349452345","40.4548915141338","2316326656"
"14","7","106.049861605163","42.4129520215486","765893696"
"95","7","102.054934721329","39.9786043669048","171311696"
"124","7","121.068737142426","40.4437996546427","114300136"
"207","7","74.0600539248793","40.3453613080476","65724064"
"346","7","241.03092430653","39.6816191673279","31963586"
"526","7","166.053080243396","40.7255000552616","20308962"
"393","7","88.0393278061828","40.2183267693771","11403520"
"1317","7","103.058331980189","40.0420997882711","7261697.5"
"1901","7","144.008866675306","41.2212340615012","4391069.5"
"10","8","123.055194267298","53.357257240697","1623656704"
"11","9","122.026847991929","41.6147109722269","1588414464"
"19","9","238.037772747231","44.172115016628","638298816"
"155","9","124.022628941487","41.3453774885698","83145640"
"233","9","123.030114296052","41.4005655808882","55440800"
"255","9","239.041251917704","44.204247156779","48410400"
"366","9","240.033462251132","44.1721500396729","30043316"
"392","9","105.000439625451","41.3591445576061","28081468"
"502","9","76.0215658462755","41.4004906741056","21358386"
"12","10","175.118827352175","39.1477722368742","1196618368"
"162","10","176.12203508194","39.2087209546888","78508968"
"1960","10","177.122764869663","39.2637063132392","4209947"
"13","11","345.220744913574","411.857414647153","805769856"
