"ids","rel.ids","mzs","RTs","Ints","relationship","isotope.pattern","charge"
15646,763,164.920465425654,4.24827312149058,19065.7558108154,"bp",NA,NA
15179,4435,164.920488942777,12.9411762972596,20773.5124349121,"bp",NA,NA
10366,421,609.339623079929,3.2415141090584,48622.087669751,"potential bp",0,1
15580,421,610.343057925723,3.25079290536101,19287.4149872314,"potential bp|isotope",0,1
15489,285,1140.83580934687,15.5459772159299,19641.198670277,"",NA,NA
13832,421,605.387775119808,3.22649814764883,26209.8918838013,"",NA,NA
9972,113,367.141559869682,16.2084866599927,52590.0586925868,"potential bp|isotope",1,1
8607,421,604.384411447428,3.22649814764883,69150.8607392969,"bp",NA,NA
1518,113,708.253009136164,16.2146347276865,712791.514599161,"bp",0,1
4171,113,709.255948731215,16.2176509874208,203452.583097694,"bp|isotope",0,1
10979,285,1021.33153406368,15.7573727546643,43367.9244365774,"",NA,NA
15479,285,1140.43588435827,15.7360273629655,19684.7295644822,"",NA,NA
14682,285,1140.63697262834,15.5947252107158,22683.0813509766,"",NA,NA
4952,113,204.087302401391,16.1828778861417,159234.560448893,"",NA,NA
2719,113,366.138434938651,16.2247263348566,354533.409073865,"potential bp",1,1
13186,285,943.372075325785,15.7725026490423,29117.7846641368,"potential bp",0,2
12028,285,1010.57203974428,15.9377063708015,35457.9325915206,"",NA,NA
17295,113,368.143563724759,16.3236267478592,12406.778940564,"potential bp|isotope",1,1
8508,113,710.258169147861,16.2694853648464,70453.0614688797,"bp|isotope",0,1
13625,285,943.205240998468,15.7941442700924,27178.4993120742,"potential bp",1,2
13638,285,943.538648956246,15.7867724188849,27106.7066441244,"",NA,NA
12357,285,1010.32206090867,15.937002127424,33428.819468811,"",NA,NA
12413,285,1419.79538248146,15.9437422334613,33091.0341124639,"",NA,NA
14346,113,1495.57725944126,16.0975199978956,24080.3013520938,"",NA,NA
15813,113,275.096096947226,16.1543176914405,18416.7285137695,"potential bp|isotope",13,1
17115,113,293.106891626854,16.1214625578396,13299.4239466454,"potential bp|isotope",16,1
5463,114,513.200062960455,16.4466960241221,138948.353700399,"bp|isotope",0,1
16244,113,1019.40251921526,16.3721918080061,16844.8328511887,"",NA,NA
9239,113,1131.44328638306,16.1292473048861,61439.759044519,"potential bp",2,1
12742,285,1136.64113906516,15.937527947398,31198.9398654378,"",NA,NA
10084,113,1346.75675324929,16.3348215885835,51378.8728207758,"potential bp",3,1
9452,113,1347.09094386764,16.29506402381,58676.8259067595,"potential bp",4,1
16299,113,1383.5317293572,16.2149437943236,16673.7359052978,"potential bp|isotope",6,1
12989,113,1415.30318300853,16.1403279759914,29995.2119185155,"potential bp",5,2
1617,114,512.196821625168,16.4466960241221,661285.961566962,"bp",0,1
7177,113,1132.04447209721,16.1361755842487,93640.6026986182,"",NA,NA
8530,113,1132.24498634505,16.1295503869365,70128.2014968604,"",NA,NA
10863,113,1132.44498069221,16.0705125736074,44270.7559990293,"potential bp|isotope",2,1
10419,285,1136.04073131637,15.9437422334613,48223.0776518115,"bp",NA,NA
10696,285,1136.44072263903,15.9437422334613,45756.5563212305,"",NA,NA
13683,113,1382.52575978854,16.2354695125984,26879.674669794,"potential bp",6,1
4488,81,81.0332142672872,17.1094302691584,183356.697904943,"",NA,NA
3609,81,98.9840214448138,17.0733308403047,246100.486804993,"",NA,NA
12842,114,514.202169049418,16.4466960241221,30734.4766576276,"bp|isotope",0,1
11747,113,616.20823611706,16.1806561719618,37429.4949959849,"potential bp",7,1
6585,113,1131.8441888174,16.1367400805987,106477.098099756,"potential bp",8,1
11964,285,1135.84179970277,15.9555289915212,35813.425278834,"potential bp",0,1
10319,113,1347.42582301709,16.3347747043831,49076.0568179096,"potential bp",9,1
10920,113,1414.05005485339,16.1537749225906,43832.9535609118,"",NA,NA
7930,113,1414.55132721278,16.1878453849464,80160.3095771485,"",NA,NA
9949,113,1415.05277253471,16.1486173318948,52790.8315330353,"potential bp",0,2
17330,114,872.3429983938,16.421265658882,12173.6437979492,"potential bp|isotope",1,1
7100,113,1131.64370368004,16.1364578324237,95054.1583220581,"potential bp",11,1
9921,114,1136.24069475618,15.9710539769506,53087.7492508291,"",NA,NA
15680,113,1365.49711725403,16.244357514216,18904.6921078125,"potential bp",12,1
8450,113,1414.30111396078,16.1804611322623,71246.7196538722,"",NA,NA
8397,113,1414.80195595721,16.2084866599927,71884.1020502145,"",NA,NA
13310,113,454.155496546269,16.1738304285224,28591.3337767089,"",NA,NA
12195,113,636.229034897935,16.3158910206657,34282.0633196352,"potential bp|isotope",19,1
14595,2833,430.228725506656,16.7152449937065,23040.4974385705,"bp",NA,NA
14077,113,1001.36955709904,16.2486275094812,25179.6403036685,"potential bp|isotope",18,1
10306,114,1018.40048278305,16.4006816167554,49179.376292511,"potential bp|isotope",4,1
10939,81,264.11919640371,17.1673767441978,43684.8408609233,"",NA,NA
12598,114,96.0446102433259,16.3975267856981,32024.7584803707,"",NA,NA
12968,113,659.256246369032,16.3347747043831,30103.8977061244,"",NA,NA
