"","compound_id","id","name","formula","inchi","precursorType","instrument","collision.energy","spectrum"
"30573","EMBL-MCF_spec365637_1","EMBL-MCF_spec365637","Adenosine triphosphate","C10H16N5O13P3","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","M-H","Thermo Q-Exactive Plus","30","49.5035151194:0.000000 49.5038454774:0.000000 49.5041758388:0.000000 66.938746647:0.000000 66.9392661033:0.000000 66.9397855657:0.000000 66.9429024669:3.661720 66.9449805479:0.000000 66.9470586998:1.406081 66.9491829181:0.000000 66.9497024954:0.000000 66.9502220788:0.000000 78.9517548636:0.000000 78.9524202529:0.000000 78.9530856507:0.000000 78.9577436704:12.251582 78.9624932136:0.000000 78.9631587376:0.000000 78.9638242699:0.000000 88.3022057018:0.000000 88.3029927302:0.000000 88.3037797691:0.000000 88.3069280298:0.308392 88.3101320952:0.000000 88.3109192287:0.000000 88.3117063729:0.000000 96.9622060406:0.000000 96.9631116417:0.000000 96.9640172554:0.000000 96.9685455144:0.645312 96.9730760044:0.000000 96.9739817577:0.000000 96.9748875237:0.000000 97.2617464375:0.000000 97.2626562382:0.000000 97.2635660517:0.000000 97.264475878:0.000000 97.265385717:0.000000 97.2662955688:0.000000 97.2672054334:0.000000 97.2681153107:0.000000 97.2690252008:0.000000 97.2699499067:0.000000 97.2708598224:0.000000 97.2717697508:0.000000 97.272679692:0.000000 99.570173569:0.000000 99.5711159513:0.000000 99.5720583469:0.000000 99.5758280635:0.278717 99.5796634094:0.000000 99.5806059255:0.000000 99.581548455:0.000000 134.03438366:0.000000 134.035855494:0.000000 134.037327352:0.000000 134.04615901:4.399723 134.055153465:0.000000 134.056625638:0.000000 134.058097835:0.000000 134.945808214:0.000000 134.947295083:0.000000 134.948781977:0.000000 134.954729799:0.285082 134.960832105:0.000000 134.96231922:0.000000 134.96380636:0.000000 158.885837769:0.000000 158.887737368:0.000000 158.889637:0.000000 158.891536667:0.000000 158.893436368:0.000000 158.895336102:0.000000 158.897235871:0.000000 158.899135674:0.000000 158.901035511:0.000000 158.902967692:0.000000 158.904867597:0.000000 158.923868521:100.000000 158.945429695:0.000000 158.94733035:0.000000 158.949231039:0.000000 174.961511964:0.000000 174.963707021:0.000000 174.96590212:0.000000 174.979073577:2.463609 174.991635755:0.000000 174.99383139:0.000000 174.996027067:0.000000 176.915341862:0.000000 176.917573802:0.000000 176.919805785:0.000000 176.935430847:15.346574 176.951255696:0.000000 176.953488312:0.000000 176.955720971:0.000000 201.669633247:0.000000 201.672349657:0.000000 201.675066122:0.000000 201.685932528:0.299042 201.696879265:0.000000 201.699596223:0.000000 201.702313237:0.000000 213.993622396:0.000000 213.996591572:0.000000 213.999560809:0.000000 214.014407923:0.694049 214.029164307:0.000000 214.032134224:0.000000 214.035104203:0.000000 238.862665026:0.000000 238.866166557:0.000000 238.869668165:0.000000 238.89067943:6.093441 238.915487781:0.000000 238.918990467:0.000000 238.92249323:0.000000 272.918937046:0.000000 272.923213523:0.000000 272.9274901:0.000000 272.957428957:12.293058 272.991775493:0.000000 272.99605368:0.000000 273.000331966:0.000000 292.375323028:0.000000 292.380064868:0.000000 292.384806822:0.000000 292.403775795:0.347999 292.42265681:0.000000 292.427399803:0.000000 292.432142912:0.000000 310.000613655:0.000000 310.005790679:0.000000 310.010967832:0.000000 310.036855544:0.466735 310.05701248:0.000000 310.062190931:0.000000 310.067369511:0.000000 327.997230752:0.000000 328.002865091:0.000000 328.008499576:0.000000 328.014134206:0.000000 328.042309535:4.332951 328.081943345:0.000000 328.087579863:0.000000 328.093216526:0.000000 370.888723056:0.000000 370.895497965:0.000000 370.90227306:0.000000 370.936151318:0.506415 370.970097722:0.000000 370.976874859:0.000000 370.983652182:0.000000 389.953386908:0.000000 389.960690848:0.000000 389.967994993:0.000000 389.997213628:0.433334 390.026242957:0.000000 390.03354895:0.000000 390.040855148:0.000000 407.911824449:0.000000 407.919638715:0.000000 407.927453204:0.000000 407.935267919:0.000000 407.943082858:0.000000 407.950898021:0.000000 407.958713409:0.000000 407.966529022:0.000000 408.012887264:27.982669 408.083838986:0.000000 408.091658193:0.000000 408.099477625:0.000000 425.920409946:0.000000 425.928747363:0.000000 425.937085025:0.000000 425.962099479:0.485021 426.019696101:12.283127 426.078863044:0.518537 426.103454668:0.000000 426.111797473:0.000000 426.120140523:0.000000 487.909990938:0.000000 487.920213262:0.000000 487.930435908:0.000000 487.981553953:1.394361 488.029886673:0.000000 488.040112853:0.000000 488.050339355:0.000000 505.900626088:0.000000 505.911419075:0.000000 505.922212407:0.000000 505.986979655:2.387723 506.051759341:0.000000 506.062557165:0.000000 506.073355334:0.000000 540.402442154:0.000000 540.414357861:0.000000 540.426273963:0.000000"
"30574","EMBL-MCF_specxxxxxx_4","EMBL-MCF_spec365571","Adenosine diphosphate","C10H15N5O10P2","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","M-H","Thermo Q-Exactive Plus","30","49.5035992081:0.000000 49.5039295661:0.000000 49.5042599275:0.000000 78.9497964527:0.000000 78.9504618168:0.000000 78.9511271893:0.000000 78.957781377:83.952875 78.9637728476:0.000000 78.9644383883:0.000000 78.9651039375:0.000000 96.9611931574:0.000000 96.9620987457:0.000000 96.9630043468:0.000000 96.9684382194:4.416337 96.9739873439:0.000000 96.9748931099:0.000000 96.9757988886:0.000000 98.3313134759:0.000000 98.3322383252:0.000000 98.3331631875:0.000000 98.3368627674:0.423661 98.3407050155:0.000000 98.3416299953:0.000000 98.3425549881:0.000000 120.501801954:0.000000 120.503056607:0.000000 120.50431128:0.000000 120.509330169:0.426527 120.514459685:0.000000 120.515714535:0.000000 120.516969404:0.000000 134.030145959:0.000000 134.03161772:0.000000 134.033089505:0.000000 134.046336665:100.000000 134.059665788:0.000000 134.061138034:0.000000 134.062610304:0.000000 150.088169405:0.000000 150.089913434:0.000000 150.091657493:0.000000 150.098634033:0.488414 150.105628006:0.000000 150.107372338:0.000000 150.109116701:0.000000 152.728064201:0.000000 152.729854445:0.000000 152.73164472:0.000000 152.738806137:0.486785 152.746064423:0.000000 152.747854982:0.000000 152.749645572:0.000000 158.901090136:0.000000 158.902990007:0.000000 158.904889912:0.000000 158.923890836:90.240242 158.944842638:0.000000 158.946743293:0.000000 158.948643982:0.000000 174.963119754:0.000000 174.965314852:0.000000 174.967509992:0.000000 174.97848631:1.958827 174.991663648:0.000000 174.993859283:0.000000 174.99605496:0.000000 175.650004241:0.000000 175.652212279:0.000000 175.654420358:0.000000 175.663253091:0.452705 175.672107653:0.000000 175.674316107:0.000000 175.676524603:0.000000 178.94589521:0.000000 178.948165686:0.000000 178.950436205:0.000000 178.959518713:0.458689 178.968628157:0.000000 178.970899065:0.000000 178.973170016:0.000000 183.002812349:0.000000 183.005160472:0.000000 183.007508641:0.000000 183.016901768:0.440917 183.026359891:0.000000 183.028708467:0.000000 183.031057087:0.000000 192.97284883:0.000000 192.975391434:0.000000 192.977934088:0.000000 192.990648113:1.957509 193.003498691:0.000000 193.006041898:0.000000 193.008585155:0.000000 213.993619588:0.000000 213.996588763:0.000000 213.999558001:0.000000 214.014405114:1.045536 214.02934359:0.000000 214.032313507:0.000000 214.035283486:0.000000 227.926021229:0.000000 227.929285045:0.000000 227.932548931:0.000000 227.945605175:0.473636 227.958686438:0.000000 227.961950954:0.000000 227.965215541:0.000000 231.58914857:0.000000 231.592491383:0.000000 231.595834268:0.000000 231.609206535:0.490792 231.622732291:0.000000 231.626075828:0.000000 231.629419437:0.000000 255.222210722:0.000000 255.226078065:0.000000 255.229945496:0.000000 255.2454161:0.467260 255.260906688:0.000000 255.26477491:0.000000 255.26864322:0.000000 272.919018657:0.000000 272.923295134:0.000000 272.927571711:0.000000 272.957510567:20.625626 272.987485476:0.000000 272.991763561:0.000000 272.996041747:0.000000 290.934415258:0.000000 290.939122086:0.000000 290.943829029:0.000000 290.967365458:2.573577 290.995564377:0.000000 291.000272691:0.000000 291.004981119:0.000000 327.98654666:0.000000 327.992180709:0.000000 327.997814904:0.000000 328.042893686:22.548935 328.085803873:0.000000 328.091440537:0.000000 328.097077345:0.000000 346.007950968:0.000000 346.014055749:0.000000 346.020160693:0.000000 346.056793744:4.484624 346.095405394:0.000000 346.101512438:0.000000 346.107619644:0.000000 363.65923593:0.000000 363.665813712:0.000000 363.672391673:0.000000 363.698705302:0.511965 363.725059047:0.000000 363.731638614:0.000000 363.73821836:0.000000 407.927815292:0.000000 407.935630006:0.000000 407.943444945:0.000000 408.013789501:23.114707 408.068038297:0.000000 408.075857055:0.000000 408.083676037:0.000000 425.945259749:0.000000 425.9535979:0.000000 425.961936296:0.000000 426.020311925:16.650613 426.078699554:0.000000 426.087041624:0.000000 426.095383939:0.000000 459.59215114:0.000000 459.60149655:0.000000 459.610842244:0.000000"
"30665","EMBL-MCF_specxxxxxx_4","EMBL-MCF_spec112468","Adenosine diphosphate","C10H15N5O10P2","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","M+H","Thermo Q-Exactive Plus","35","50.9785881042:0.037577 53.4518547058:0.051529 53.4533233643:0.042825 55.0297966003:0.075914 55.3399925232:0.039385 56.0502090454:0.296970 57.0706214905:0.060597 58.0658874512:0.227242 59.0611534119:0.042198 68.0501937866:0.049106 69.0340957642:0.048189 70.0658111572:0.397390 71.0861816406:0.098742 71.5009613037:0.167704 71.5030975342:0.239197 71.8787689209:0.043616 72.0450744629:0.070833 72.0813751221:0.079666 74.0971221924:0.067069 74.9747009277:0.037290 78.0328521729:0.044720 78.7516403198:0.042923 78.9853210449:0.055990 82.0656585693:0.044774 83.3719024658:0.044789 84.0812835693:0.197111 85.0765838623:0.168001 86.0604553223:0.568597 87.0638427734:0.068396 87.0921325684:4.662303 88.0760269165:0.297615 88.0954437256:0.262741 95.7657012939:0.038866 96.9956054688:0.250608 97.0287475586:3.849151 97.0763549805:0.236582 99.0919799805:0.677739 100.075912476:0.455697 102.091423035:0.077912 104.118492126:0.275342 111.091819763:0.241189 111.11730957:0.041757 112.075561523:0.075182 112.096260071:0.041517 112.099502563:0.372755 113.107444763:5.136603 114.110923767:0.352945 118.086265564:0.048384 119.03527832:0.098064 121.101066589:0.075277 122.104652405:0.048270 125.107322693:0.234314 127.086479187:0.077575 127.110336304:0.055923 129.102233887:0.600995 130.086166382:0.092287 130.105239868:0.048322 130.133789062:4.455085 131.11781311:0.857324 131.130950928:0.050814 131.136917114:0.383034 135.010726929:0.047957 136.061706543:100.000000 136.114013672:0.100729 137.064758301:0.098099 139.111450195:0.225073 143.08152771:0.164660 143.117584229:0.707754 144.10168457:0.057615 147.16003418:0.539968 154.133636475:0.604853 155.137039185:0.096861 156.149276733:1.538883 157.133392334:0.260102 157.153076172:0.046909 171.159820557:0.059319 172.144119263:0.511778 173.147644043:0.055274 173.175888062:3.301158 174.112060547:0.050839 174.16003418:0.212581 174.179260254:0.267381 176.056396484:0.077750 176.073318481:0.050837 178.072021484:0.536589 178.950012207:0.088946 187.143447876:0.046381 190.202255249:0.438921 191.205566406:0.046167 196.964614868:0.039943 199.191436768:0.068187 202.089294434:0.805040 203.127593994:0.456441 204.087249756:0.054160 204.131561279:0.039512 214.071838379:0.368076 216.027374268:0.169453 216.218002319:0.705918 217.202468872:0.058406 218.264129639:0.043455 226.083206177:0.044302 231.525543213:0.041421 232.08253479:1.246690 238.110076904:3.920946 239.113540649:0.568794 240.106719971:0.060769 245.131347656:0.227696 246.133132935:0.054307 250.092758179:0.425004 252.125289917:0.057428 255.136444092:0.607208 256.138977051:0.058765 263.141906738:0.070894 267.116485596:0.045519 271.164093018:0.065924 278.128295898:0.050432 281.152313232:5.150427 282.136199951:0.997886 282.154174805:0.856894 287.189758301:0.064216 292.455627441:0.046426 297.147064209:0.069066 298.151794434:0.050681 298.178771973:0.948806 299.179901123:0.183465 307.151397705:0.075831 307.16796875:1.054910 307.184692383:0.074483 308.171386719:0.256304 312.049102783:0.185347 322.179290771:0.058652 323.181030273:0.075263 324.165161133:0.048934 324.194519043:1.689045 325.178375244:0.183753 325.196990967:0.528131 330.059082031:0.506935 331.215759277:0.079582 341.221069336:1.274416 342.223236084:0.288645 346.142547607:0.054765 348.069976807:4.731051 348.427307129:0.047529 351.274627686:0.044440 366.810577393:0.046970 367.236236572:1.174341 368.239013672:0.373059 373.273040771:0.101286 374.277069092:0.057720 391.207336426:0.049653 391.673614502:0.045480 409.246643066:0.260089 409.266387939:0.208178 409.293304443:0.089310 410.182678223:0.277690 410.278411865:0.083209 411.282165527:0.079526 422.425323486:0.046465 427.235290527:0.072233 427.278533936:0.166938 427.304718018:4.281222 428.035186768:0.097289 428.189208984:0.083843 428.237640381:0.283082 428.309906006:1.613596"
"30698","EMBL-MCF_spec120371_1","EMBL-MCF_spec120371","DEOXYGUANOSINE 5-DIPHOSPHATE","C10H15N5O10P2","InChI=1S/C10H15N5O10P2/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(24-6)2-23-27(21,22)25-26(18,19)20/h3-6,16H,1-2H2,(H,21,22)(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1","M+H","Thermo Q-Exactive Plus","35","50.3778800964:0.048049 53.039352417:0.245431 56.0502433777:0.256940 56.1273918152:0.048592 57.0706481934:0.129884 58.0659217834:0.218233 59.0611305237:0.072588 61.8544158936:0.050941 70.0657501221:0.301396 71.0860748291:0.081909 72.0450439453:0.072238 72.0813140869:0.106614 80.9260025024:0.050113 81.0340042114:18.644994 84.0811920166:0.197156 85.0764312744:0.101814 86.0604476929:0.666107 86.0967407227:0.067569 87.0920791626:5.048482 88.076133728:0.316884 88.0955123901:0.260503 88.0982131958:0.047577 96.9956054688:0.191196 97.0762634277:0.212645 97.8239212036:0.057265 99.0919570923:0.662224 100.075920105:0.666724 104.118392944:0.210689 110.034980774:0.073301 111.091827393:0.283898 112.075706482:0.066566 112.099655151:0.286217 113.107421875:4.935009 114.110748291:0.346504 121.10118866:0.116182 125.107246399:0.367671 127.086532593:0.110478 128.045471191:0.088556 129.098098755:0.052304 129.10206604:0.506075 130.086227417:0.233702 130.105377197:0.120221 130.133743286:4.451294 131.117630005:0.820421 131.13710022:0.343819 135.010467529:0.070322 135.029907227:0.276252 139.111282349:0.368382 143.080917358:0.121804 143.117767334:0.547600 146.080856323:0.076964 147.160110474:0.362699 152.056549072:100.000000 152.118652344:0.092398 153.040313721:0.519804 153.059646606:0.116011 154.133605957:0.667167 155.116989136:0.071479 156.149246216:1.612717 157.1224823:0.060174 157.133407593:0.108257 157.152923584:0.059135 172.143844604:0.384866 173.175720215:2.810954 174.112823486:0.066205 174.159790039:0.204189 174.179077148:0.284389 190.202377319:0.426472 191.138473511:0.073408 199.192214966:0.068505 202.088943481:0.636129 203.126968384:0.452570 216.21786499:0.691355 218.137145996:0.084563 226.161743164:0.052673 232.082214355:0.315511 238.109954834:3.976004 238.718765259:0.048111 239.112854004:0.605145 245.130752563:0.286859 247.153579712:0.051113 255.13659668:0.504027 256.13760376:0.072499 263.141845703:0.113510 264.125274658:0.065911 266.104064941:0.098809 271.163757324:0.075120 278.128417969:0.066132 280.120117188:0.076888 281.152191162:4.817161 282.135986328:0.964859 282.154205322:1.109719 283.137634277:0.067600 294.404052734:0.057057 298.15057373:0.060539 298.178894043:0.908203 299.181488037:0.130300 307.167724609:0.810586 308.170135498:0.287381 324.194519043:1.466758 325.179473877:0.104124 325.196960449:0.541358 340.190155029:0.058633 341.221099854:1.111960 342.222991943:0.246676 346.143463135:0.056654 367.23638916:0.862438 368.238311768:0.272299 373.273254395:0.065915 378.315338135:0.055457 391.236694336:0.056697 409.246185303:0.273781 409.267730713:0.180412 409.292877197:0.112124 410.181640625:0.083175 411.281585693:0.068703 427.207183838:0.088399 427.233276367:0.076302 427.276885986:0.196479 427.304382324:4.094638 428.135986328:0.072854 428.186767578:0.320370 428.23828125:0.484693 428.310638428:1.080535"
"30717","EMBL-MCF_specxxxxxx_59","EMBL-MCF_spec121931","ADENOSINE 3&#39;,5&#39;-DIPHOSPHATE","C10H15N5O10P2","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/t4-,6-,7-,10-/m1/s1","M+H","Thermo Q-Exactive Plus","35","56.0502967834:0.079661 57.0705909729:0.184884 58.0658912659:0.158363 58.7362785339:0.045509 62.6051330566:0.051342 65.553314209:0.044900 65.6345443726:0.046210 70.0657806396:0.109681 71.0862121582:0.075786 72.0451278687:0.095108 72.0814743042:0.098103 73.6962890625:0.080256 74.0607147217:0.063430 74.0970153809:0.105957 78.1545791626:0.046298 78.6866531372:0.040765 78.9851989746:0.042195 83.0606994629:0.064586 84.0812911987:0.267233 85.076423645:0.054501 86.0604782104:0.441155 86.0799331665:0.043366 87.0921096802:3.688826 88.0760803223:0.225851 88.0955505371:0.175572 90.8348999023:0.041306 96.9955291748:0.254272 97.0287322998:4.150520 97.0764312744:0.115006 97.6128234863:0.045637 98.984413147:0.105945 99.0919647217:0.469495 100.075843811:0.442567 101.060188293:0.046626 102.181533813:0.041831 104.118362427:0.109411 107.272590637:0.043954 111.09173584:0.345247 112.075912476:0.050099 112.099761963:0.259064 113.107398987:3.759470 114.110824585:0.277684 114.757499695:0.046333 118.086593628:0.047865 119.035125732:0.091392 125.107315063:0.257243 127.086486816:0.086812 129.102096558:0.549796 130.086029053:0.099364 130.105117798:0.062697 130.133758545:3.478795 131.117675781:0.718500 131.13722229:0.196433 135.010604858:0.078287 136.007522583:0.097040 136.061676025:100.000000 136.113449097:0.070557 137.058883667:0.158432 137.064880371:0.300849 139.111557007:0.282484 139.122512817:0.088004 143.081481934:0.106087 143.11781311:0.552619 146.080703735:0.163044 147.160171509:0.252378 154.133575439:0.500124 155.13684082:0.086534 156.14932251:1.417650 157.133422852:0.101296 157.152832031:0.091589 169.132797241:0.064881 172.144104004:0.344489 173.175796509:2.122535 174.159805298:0.202977 174.172103882:0.060811 174.179046631:0.110783 176.994293213:1.126876 190.202453613:0.376596 199.190536499:0.050771 202.088867188:0.672101 203.093063354:0.066238 203.127578735:0.360932 209.426605225:0.051978 216.217651367:0.439597 217.201751709:0.052091 218.138122559:0.055895 220.099334717:0.046040 229.894393921:0.044941 232.082077026:0.059814 238.110031128:3.442594 239.113067627:0.478770 245.119812012:0.045937 245.131637573:0.255849 255.136917114:0.343289 256.139251709:0.060325 264.12512207:0.077355 266.104400635:0.046159 280.120391846:0.085954 281.15222168:3.907140 282.136230469:0.953561 282.154510498:0.858262 283.136444092:0.058946 287.188171387:0.067813 298.178497314:0.613994 299.163909912:0.052354 299.179656982:0.082281 307.167999268:0.873536 308.171142578:0.246390 312.048706055:0.654837 324.194519043:1.486946 325.177886963:0.211412 325.196685791:0.453430 330.059234619:0.702989 341.22088623:0.873780 342.204467773:0.069132 342.223297119:0.212535 345.3487854:0.052957 346.143035889:0.104322 348.069610596:0.263136 360.688720703:0.054335 367.23638916:0.719283 368.239135742:0.296461 373.273651123:0.076640 374.500671387:0.054533 384.262329102:0.055699 409.19744873:0.058984 409.246856689:0.266155 409.269378662:0.106505 409.295715332:0.160524 410.025970459:0.063888 410.182739258:0.270834 410.247802734:0.050476 410.2762146:0.050253 411.282104492:0.056959 427.160461426:0.053545 427.20880127:0.058955 427.278167725:0.122973 427.304626465:3.460120 428.035644531:0.565051 428.161132812:0.053695 428.188690186:0.249482 428.237823486:0.361526 428.286712646:0.252458 428.310852051:0.953570 429.227020264:0.058803"
"42539","EMBL-MCF_specxxxxxx_4","EMBL-MCF_spec37370","Adenosine diphosphate","C10H15N5O10P2","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","M-H","Thermo Q-Exactive Plus","35","59.0123977661:0.636732 59.959438324:0.099690 60.7480926514:0.104223 62.9624938965:0.165253 72.9946289062:0.181881 78.9576644897:100.000000 96.9682922363:3.350075 114.932914734:0.469594 119.015884399:0.452417 134.046127319:50.614137 135.050674438:0.866839 158.924530029:68.952640 174.979431152:1.529086 176.93460083:0.911809 192.99055481:1.279910 211.000030518:0.757675 214.013427734:0.687006 254.947402954:0.120675 272.957611084:12.853577 273.960876465:0.186541 290.968322754:0.934183 328.04586792:9.038931 329.050018311:0.352101 329.201293945:0.170402 346.056182861:2.948526 389.271026611:0.989571 390.274597168:0.213665 407.281402588:0.216665 408.012023926:9.727222 409.015228271:0.237605 426.023468018:5.586938 427.024902344:0.194842 451.847229004:0.116488"
"42595","EMBL-MCF_specxxxxxx_59","EMBL-MCF_spec50520","ADENOSINE 3&#39;,5&#39;-DIPHOSPHATE","C10H15N5O10P2","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/t4-,6-,7-,10-/m1/s1","M-H","Thermo Q-Exactive Plus","35","51.3367843628:0.290539 59.0123214722:0.783083 59.6940116882:0.349115 69.9247360229:0.371080 71.5195541382:0.795060 71.5234603882:0.868287 78.9575881958:63.843773 81.9461517334:0.295069 84.0164413452:0.294807 85.7147216797:0.330286 89.8597869873:0.449496 96.7292709351:0.539880 96.9682769775:3.476374 114.581253052:0.354289 114.932624817:2.578209 116.927062988:0.456000 119.015708923:1.469712 127.845184326:0.352314 131.162536621:0.330182 134.046096802:100.000000 135.049407959:1.817920 140.908813477:0.442766 149.543289185:0.347876 158.924484253:49.716189 174.979400635:0.821197 176.935302734:0.452040 192.990112305:1.878177 211.000930786:2.212624 214.012741089:0.558346 223.391586304:0.316833 262.369232178:0.337269 272.957214355:8.973954 275.88079834:0.453344 290.969360352:0.743671 328.04586792:10.232778 329.200958252:0.427643 340.950897217:0.311912 346.05657959:1.522420 353.886749268:0.330833 389.270599365:1.446912 407.281005859:0.409001 408.012054443:6.467597 426.023651123:4.267925 434.978637695:0.365489"
"42774","C00418","C00418_1","(R)-Mevalonate","C6H12O4","InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)/t6-/m1/s1","M+H","predicted spectra","30","53.319:1.72 54.537:1.091 56.215:1.62 64.986:6.448 65.727:1.753 66.968:100 67.577:58.73 68.646:1.984 70.339:2.083 71.588:0.926 73.032:1.058 76.622:1.819 77.761:1.356 80.024:10.582 80.812:1.72 81.593:11.243 82.662:2.612 86.385:1.653 87.407:1.025 91.473:3.241 93.151:3.704 95.336:2.943 96.109:1.157 103.086:1.224 104.983:2.414 106.544:4.266 107.332:10.847 108.19:8.862 109.431:2.183 116.308:1.157 121.412:1.19 131.535:1.025 133.12:2.149 134.181:2.414 147.482:1.488 149.363:3.208"
"42775","C00418","C00418_2","(R)-Mevalonate","C6H12O4","InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)/t6-/m1/s1","M-H","predicted spectra","30","15.0234751:2.22380544697877 17.00273965:7.85325207531298 27.0234751:20.5948882741327 29.00273965:0.912850200684278 41.00273965:7.31509032831571 43.01838972:14.8568560539085 44.99765427:3.08001576756323 45.03403978:62.2915587536512 57.03403978:12.5860737036782 59.01330434:58.3433982452374 59.04968984:1.16780947584379 61.0289544:1.63889496592054 67.01838972:1.0751111732589 69.03403978:8.94981587577106 73.06533991:64.9481504740375 83.01330434:1.26408075574929 83.04968984:6.4342581599533 85.0289544:13.9849730608272 85.06533991:65.0174355447277 87.04460446:35.5838984027846 99.04460446:92.2077310465879 101.023869:9.80710564761104 101.0602545:7.83414884579657 103.0395191:3.12686413168159 103.0759046:51.9065554856065 105.0551691:0.32798335990072 111.0446045:10.2092769852748 117.0551691:100 129.0551691:70.0376675553691 131.0344337:0.857052717418918 147.0657338:65.4795067599736"
"42776","C00521","C00521_1","(S)-Limonene","C10H16","InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m1/s1","M+H","predicted spectra","30","40:50.798 41:75.163 42:64.497 43:45.95 54:53.959 66:58.115 67:64.438 68:56.097 76:71.362 77:47.906 78:57.602 79:62.27 80:100 81:47.096 93:60.344 94:76.091"
