ids,rel.ids,mzs,RTs,Int,Compound ID,Formula,Adduct,isotope,charge
1,0,808.1179305,60.16886411,15.454966,C00024,C23H37N7O17P3S1,M-H,mono,-1
2,0,1617.244072,59.83248293,16.6123245,C00024,C46H75N14O34P6S2,2M-H,mono,-1
3,0,1618.246019,61.85207547,8.265021855,C00024,C45[13]C1H75N14O34P6S2,2M-H,iso,-1
4,0,403.5549462,60.06953614,5.311077478,C00024,C23H36N7O17P3S1,M-2H,mono,-2
5,0,2426.368968,58.81262842,13.08504966,C00024,C69H113N21O51P9S3,3M-H,mono,-1
6,0,2427.371757,59.99891738,9.765179588,C00024,C68[13]C1H113N21O51P9S3,3M-H,iso,-1
7,1,850.1292134,75.48072759,64.56891101,C00332,C25H39N7O18P3S1,M-H,mono,-1
8,1,851.1322241,73.76570984,17.45899494,C00332,C24[13]C1H39N7O18P3S1,M-H,iso,-1
9,1,1701.265186,74.40406922,52.42876671,C00332,C50H79N14O36P6S2,2M-H,mono,-1
10,1,1702.268632,75.64942097,28.35276477,C00332,C49[13]C1H79N14O36P6S2,2M-H,iso,-1
11,1,1703.272019,75.19376999,7.513067103,C00332,C48[13]C2H79N14O36P6S2,2M-H,iso,-1
12,1,424.5603332,73.46623649,37.49377136,C00332,C25H38N7O18P3S1,M-2H,mono,-2
13,1,425.0625664,75.42362417,10.13806109,C00332,C24[13]C1H38N7O18P3S1,M-2H,iso,-2
14,1,2552.403151,76.77571062,24.47244953,C00332,C75H119N21O54P9S3,3M-H,mono,-1
15,1,2553.407266,73.2602602,19.85155236,C00332,C74[13]C1H119N21O54P9S3,3M-H,iso,-1
16,1,2554.407816,75.20153464,7.944232871,C00332,C73[13]C2H119N21O54P9S3,3M-H,iso,-1
17,2,766.1068903,298.8253727,12.99278744,C00010,C21H35N7O16P3S1,M-H,mono,-1
18,2,1533.222936,301.209862,12.0943073,C00010,C42H71N14O32P6S2,2M-H,mono,-1
19,2,1534.227298,300.9222805,5.493967147,C00010,C41[13]C1H71N14O32P6S2,2M-H,iso,-1
20,2,382.5497645,300.2404297,7.239538976,C00010,C21H34N7O16P3S1,M-2H,mono,-2
21,2,2300.334832,299.7408368,15.60689004,C00010,C63H107N21O48P9S3,3M-H,mono,-1
22,2,2301.340333,301.1040317,10.63439257,C00010,C62[13]C1H107N21O48P9S3,3M-H,iso,-1
23,3,910.150076,119.8708228,21.01917658,C00356,C27H43N7O20P3S1,M-H,mono,-1
24,3,911.1536264,119.7138596,6.138117976,C00356,C26[13]C1H43N7O20P3S1,M-H,iso,-1
25,3,1821.30712,119.8785969,18.71963343,C00356,C54H87N14O40P6S2,2M-H,mono,-1
26,3,1822.31102,120.9051162,10.93318932,C00356,C53[13]C1H87N14O40P6S2,2M-H,iso,-1
