ids,rel.ids,mzs,RTs,Int,Compound ID,Formula,Adduct,isotope,charge
1,0,810.1337396,60.5347075,19.1,C00024,C23H39N7O17P3S1,M+H,mono,1
2,0,832.1158299,61.62970459,9.000503018,C00024,C23H38N7O17P3S1Na1,M+Na,mono,1
3,0,405.5711555,60.72720238,16.60150674,C00024,C23H40N7O17P3S1,M+2H,mono,2
4,0,1619.258146,60.98886623,9.28774891,C00024,C46H77N14O34P6S2,2M+H,mono,1
5,1,852.1442714,75.60782836,95.7,C00332,C25H41N7O18P3S1,M+H,mono,1
6,1,853.147291,74.75079803,25.87662994,C00332,C24[13]C1H41N7O18P3S1,M+H,iso,1
7,1,874.1251931,73.98379985,72.34832117,C00332,C25H40N7O18P3S1Na1,M+Na,mono,1
8,1,875.1291855,73.63508328,19.56249461,C00332,C24[13]C1H40N7Na1O18P3S1,M+Na,iso,1
9,1,426.5763176,74.6615401,66.80063233,C00332,C25H42N7O18P3S1,M+2H,mono,2
10,1,427.0769664,75.11088465,18.06243723,C00332,C24[13]C1H42N7O18P3S1,M+2H,iso,2
11,1,1703.28066,74.65310466,36.16142578,C00332,C50H81N14O36P6S2,2M+H,mono,1
12,1,1704.282063,75.51646872,19.55560779,C00332,C49[13]C1H81N14O36P6S2,2M+H,iso,1
13,1,1705.286967,73.1272661,5.181949442,C00332,C48[13]C2H81N14O36P6S2,2M+H,iso,1
14,2,768.1230268,299.0781978,24.9,C00010,C21H37N7O16P3S1,M+H,mono,1
15,2,769.1250734,298.3971861,5.655544324,C00010,C20[13]C1H37N7O16P3S1,M+H,iso,1
16,2,790.1049113,302.337016,20.39108752,C00010,C21H36N7O16P3S1Na1,M+Na,mono,1
17,2,384.5657311,300.1484127,14.78719909,C00010,C21H38N7O16P3S1,M+2H,mono,2
18,2,1535.238682,299.213239,16.84002749,C00010,C42H73N14O32P6S2,2M+H,mono,1
19,2,1536.239796,302.0770463,7.649760793,C00010,C41[13]C1H73N14O32P6S2,2M+H,iso,1
20,3,912.1645195,120.433033,36.8,C00356,C27H45N7O20P3S1,M+H,mono,1
21,3,913.1673919,118.6787669,10.74650763,C00356,C26[13]C1H45N7O20P3S1,M+H,iso,1
22,3,934.1469805,120.9099882,28.18573746,C00356,C27H44N7O20P3S1Na1,M+Na,mono,1
23,3,935.1501871,121.2040697,8.230930509,C00356,C26[13]C1H44N7Na1O20P3S1,M+Na,iso,1
24,3,456.5861919,117.7226008,11.91346814,C00356,C27H46N7O20P3S1,M+2H,mono,2
25,3,1823.323649,119.1286349,17.94865065,C00356,C54H89N14O40P6S2,2M+H,mono,1
26,3,1824.325695,119.184384,10.48289735,C00356,C53[13]C1H89N14O40P6S2,2M+H,iso,1
27,4,746.0994611,200.7174441,76.1,C00005,C21H31N7O17P3,M+H,mono,1
28,4,747.1027755,199.167578,17.28461538,C00005,C20[13]C1H31N7O17P3,M+H,iso,1
29,4,768.0811543,199.6691247,27.90194509,C00005,C21H30N7O17P3Na1,M+Na,mono,1
30,4,769.083945,200.765261,6.337376996,C00005,C20[13]C1H30N7Na1O17P3,M+Na,iso,1
31,4,373.5533129,200.5252342,68.21315493,C00005,C21H32N7O17P3,M+2H,mono,2
