"ids","rel.ids","mzs","RTs","Int","Compound.ID","Formula","Adduct","post IPA1"
1,0,808.1179305,60.16886411,15.454966,"C00024","C23H37N7O17P3S1","M-H",0.99875
2,0,1617.244072,59.83248293,16.6123245,"C00024","C46H75N14O34P6S2","2M-H",0.996
4,0,403.5549462,60.06953614,5.311077478,"C00024","C23H36N7O17P3S1","M-2H",0.99425
5,0,2426.368968,58.81262842,13.08504966,"C00024","C69H113N21O51P9S3","3M-H",0.99675
7,1,850.1292134,75.48072759,64.56891101,"C00332","C25H39N7O18P3S1","M-H",1
9,1,1701.265186,74.40406922,52.42876671,"C00332","C50H79N14O36P6S2","2M-H",0.993
12,1,424.5603332,73.46623649,37.49377136,"C00332","C25H38N7O18P3S1","M-2H",0.99425
14,1,2552.403151,76.77571062,24.47244953,"C00332","C75H119N21O54P9S3","3M-H",0.999
17,2,766.1068903,298.8253727,12.99278744,"C00010","C21H35N7O16P3S1","M-H",1
18,2,1533.222936,301.209862,12.0943073,"C00010","C42H71N14O32P6S2","2M-H",0.99575
20,2,382.5497645,300.2404297,7.239538976,"C00010","C21H34N7O16P3S1","M-2H",0.9945
21,2,2300.334832,299.7408368,15.60689004,"C00010","C63H107N21O48P9S3","3M-H",0.99475
23,3,910.150076,119.8708228,21.01917658,"C00356","C27H43N7O20P3S1","M-H",0.9835
25,3,1821.30712,119.8785969,18.71963343,"C00356","C54H87N14O40P6S2","2M-H",0.9005
27,3,454.5710726,120.0526261,18.10242472,"C00356","C27H42N7O20P3S1","M-2H",0.90075
29,3,2732.462478,121.0670696,31.69236269,"C00356","C81H131N21O60P9S3","3M-H",0.9025
32,4,744.0832945,201.0634172,44.10577089,"C00005","C21H29N7O17P3","M-H",0.96475
34,4,1489.175111,199.7776662,47.21899622,"C00005","C42H59N14O34P6","2M-H",0.8455
36,4,371.5378001,200.3616389,61.27176853,"C00005","C21H28N7O17P3","M-2H",0.8625
38,4,2234.263681,199.2371271,58.38756422,"C00005","C63H89N21O51P9","3M-H",0.8665
42,5,743.0754086,150.0582799,50.22406821,"C00006","C21H28N7O17P3","M-H",1
44,5,1487.158682,150.3828159,64.64966456,"C00006","C42H57N14O34P6","2M-H",0.99625
47,5,371.0336905,150.7301755,36.60210275,"C00006","C21H27N7O17P3","M-2H",0.95125
49,5,2231.243816,148.8330461,49.69466707,"C00006","C63H86N21O51P9","3M-H",0.9945
53,6,147.0657686,249.6343198,26.30649295,"C00418","C6H11O4","M-H",0.84875
54,6,295.1392598,249.7537097,15.08897225,"C00418","C12H23O8","2M-H",0.44775
55,6,73.02898333,249.6488295,14.71263373,"C00418","C6H10O4","M-2H",0.31225
56,6,443.2124592,250.4856844,19.26040183,"C00418","C18H35O12","3M-H",0.45125
57,7,505.9877398,209.6008785,5.053279488,"C00002","C10H15N5O13P3","M-H",0.96325
58,7,1012.983027,209.2805585,3.762941447,"C00002","C20H31N10O26P6","2M-H",0.8115
59,7,252.4903249,208.7608574,2.666487883,"C00002","C10H14N5O13P3","M-2H",0.8145
60,7,1519.977059,211.8941647,6.025677287,"C00002","C30H47N15O39P9","3M-H",0.80225
61,8,426.0215015,210.1634328,5.076335247,"C00008","C10H14N5O10P2","M-H",0.946
62,8,853.0514208,211.6272813,5.620925841,"C00008","C20H29N10O20P4","2M-H",0.7345
63,8,212.5069177,211.6403207,2.599087537,"C00008","C10H13N5O10P2","M-2H",0.72
64,8,1280.080162,210.2495127,6.132533187,"C00008","C30H44N15O30P6","3M-H",0.72525
65,9,227.0321737,309.4064079,10.21219869,"C01107","C6H12O7P1","M-H",0.94325
66,9,455.0722084,310.6028349,26.77493674,"C01107","C12H25O14P2","2M-H",0.7525
67,9,113.0121348,309.6917506,10.76757139,"C01107","C6H11O7P1","M-2H",0.77225
68,9,683.1119115,309.2561172,16.48348022,"C01107","C18H38O21P3","3M-H",0.79175
69,10,306.9984724,710.8678475,29.75762455,"C01143","C6H13O10P2","M-H",0.93
70,10,615.0046148,707.9336639,42.60110398,"C01143","C12H27O20P4","2M-H",0.7425
72,10,152.9952729,711.0268869,23.55497296,"C01143","C6H12O10P2","M-2H",0.67
73,10,923.0111475,709.9938089,43.15616806,"C01143","C18H41O30P6","3M-H",0.7415
75,11,244.9980424,629.651708,25.48520435,"C00129","C5H11O7P2","M-H",0.732
76,11,491.0040812,630.8090249,29.42267229,"C00129","C10H23O14P4","2M-H",0.667
77,11,121.9950411,628.398723,19.14886116,"C00129","C5H10O7P2","M-2H",0.66425
78,11,737.0096255,629.3624139,13.73666435,"C00129","C15H35O21P6","3M-H",0.6925
79,12,244.9978973,515.3925712,33.84058146,"C00235","C5H11O7P2","M-H",0.26575
80,12,491.0036021,515.2344444,42.210757,"C00235","C10H23O14P4","2M-H",0.295
81,12,121.9950595,514.7129482,25.96527072,"C00235","C5H10O7P2","M-2H",0.30025
82,12,737.0098468,514.5188393,33.81561436,"C00235","C15H35O21P6","3M-H",0.304
84,13,237.185539,408.351122,10.68310403,"HMDB0032291","C15H25O2","M-H",0.65625
85,13,475.3787606,411.6150192,12.28722713,"HMDB0032291","C30H51O4","2M-H",0.348
86,13,118.0887698,411.0964944,17.7560868,"HMDB0032291","C15H24O2","M-2H",0.356
87,13,713.5724168,408.6108644,12.57252254,"HMDB0032291","C45H77O6","3M-H",0.36625
89,14,135.1172659,480.621967,39.34945239,"C00521","C10H15","M-H",0.10425
90,14,271.2426728,479.3070026,33.42521543,"C00521","C20H31","2M-H",0.0325
92,14,67.05475204,479.2081138,47.18156635,"C00521","C10H14","M-2H",0.02375
94,14,407.367667,480.6467708,23.79802256,"C00521","C30H47","3M-H",0.0175
