"ids","rel.ids","mzs","RTs","Int","Compound.ID","Formula","Adduct","post IPA1"
1,0,810.1337396,60.5347075,19.1,"C00024","C23H39N7O17P3S1","M+H",1
2,0,832.1158299,61.62970459,9.000503018,"C00024","C23H38N7O17P3S1Na1","M+Na",0.996
3,0,405.5711555,60.72720238,16.60150674,"C00024","C23H40N7O17P3S1","M+2H",0.99375
4,0,1619.258146,60.98886623,9.28774891,"C00024","C46H77N14O34P6S2","2M+H",0.99425
5,1,852.1442714,75.60782836,95.7,"C00332","C25H41N7O18P3S1","M+H",1
7,1,874.1251931,73.98379985,72.34832117,"C00332","C25H40N7O18P3S1Na1","M+Na",0.99575
9,1,426.5763176,74.6615401,66.80063233,"C00332","C25H42N7O18P3S1","M+2H",0.9945
11,1,1703.28066,74.65310466,36.16142578,"C00332","C50H81N14O36P6S2","2M+H",0.99475
14,2,768.1230268,299.0781978,24.9,"C00010","C21H37N7O16P3S1","M+H",0.99975
16,2,790.1049113,302.337016,20.39108752,"C00010","C21H36N7O16P3S1Na1","M+Na",0.996
17,2,384.5657311,300.1484127,14.78719909,"C00010","C21H38N7O16P3S1","M+2H",0.996
18,2,1535.238682,299.213239,16.84002749,"C00010","C42H73N14O32P6S2","2M+H",0.99475
20,3,912.1645195,120.433033,36.8,"C00356","C27H45N7O20P3S1","M+H",0.985
22,3,934.1469805,120.9099882,28.18573746,"C00356","C27H44N7O20P3S1Na1","M+Na",0.89525
24,3,456.5861919,117.7226008,11.91346814,"C00356","C27H46N7O20P3S1","M+2H",0.9025
25,3,1823.323649,119.1286349,17.94865065,"C00356","C54H89N14O40P6S2","2M+H",0.89575
27,4,746.0994611,200.7174441,76.1,"C00005","C21H31N7O17P3","M+H",0.97925
29,4,768.0811543,199.6691247,27.90194509,"C00005","C21H30N7O17P3Na1","M+Na",0.8745
31,4,373.5533129,200.5252342,68.21315493,"C00005","C21H32N7O17P3","M+2H",0.89925
33,4,1491.189675,201.6892293,34.38513257,"C00005","C42H61N14O34P6","2M+H",0.9005
35,5,745.0908077,150.8008496,77.8,"C00006","C21H30N7O17P3","M+H",1
37,5,767.0732882,149.2610929,30.69821582,"C00006","C21H29N7O17P3Na1","M+Na",0.99275
39,5,373.0495333,150.2593852,57.70527787,"C00006","C21H31N7O17P3","M+2H",0.979
