ID,NAME,Formula, monoisotopic mass,Main adduct POS,adducts and fragments POS,Main adduct NEG,adducts and fragments NEG,reported connections,prior knowledge,RT,Conc
C00024,Acetyl-CoA,C23H38N7O17P3S1,809.1257731,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00332;C00010;C00356,1,60,19.1
C00332,Acetoacetyl-CoA,C25H40N7O18P3S,851.1363377,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00024;C00010;C00356,1,75,95.7
C00010,Coenzyme A,C21H36N7O16P3S,767.1152084,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00024;C00332;C00356,1,300,24.9
C00356,3-Hydroxy-3-methylglutaryl-CoA,C27H44N7O20P3S,911.1574671,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00024;C00332;C00010;C00005;C00006;C00418,1,120,36.8
C00005,NADPH,C21H30N7O17P3,745.0911021,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00010;C00356;C00006;C00418,1,200,76.1
C00006,NADP,C21H29N7O17P3,744.0832771,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00010;C00356;C00005;C00418,1,150,77.8
C00418,Mevalonic acid,C6H12O4,148.0735589,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00010;C00005;C00006;C00002;C00008;C01107,1,250,34.9
C00002,ATP,C10H16N5O13P3,506.9957452,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00008;C00418;C01107,1,210,6.7
C00008,ADP,C10H15N5O10P2,427.0294147,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00002;C00418;C01107,1,211,9.8
C01107,Mevalonic acid-5P,C6H13O7P,228.0398893,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00418;C00002;C00008;HMDB0001981,1,310,35.8
C01143,(R)-Mevalonic acid-5-pyrophosphate,C6H14O10P2,308.0062197,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00002;C00008;C01107;C00129,1,710,71.3
C00129,Isopentenyl pyrophosphate,C5H12O7P2,246.0058258,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,ECMDB538;C00008;HMDB0001981;C00235;HMDB0032291,1,630,44.2
C00235,Dimethylallylpyrophosphate,C5H12O7P2,246.0058258,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00129;HMDB0032291,1,515,49.3
HMDB0032291,Geranyl 2-methylbutyrate,C15H26O2,238.1932801,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,C00129;C00235;C00521,1,410,24.5
C00521,D-Limonene,C10H16,136.1252005,M+H,M+H;M+Na;M+2H;2M+H,M-H,M-H;2M-H;M-2H;3M-H,HMDB0032291,1,480,74.8
